,State,City,Population,Violent crime,Property crime,Violent Crime per pop,"Violent crime rate per 100,000 inhabitants",Property crime per pop,"Property crime per 100,000 inhabitants",Assault Risk (County),Total Crime Risk (County),Student Teacher Ratio,Percent of High School Graduate or Higher,year
99,Virginia,Alexandria,"152,710",137,"1,306",0,89.71,0.01,855.22,68.0,106.0,14.5,91.4,2017
100,Massachusetts,Springfield,154090,766,2459,0,497.11,0.02,1595.82,98.5,78.5,12.75,77.2,2017
101,California,Pomona,154410,334,2316,0,216.31,0.01,1499.9,161.0,125.0,22.0,68.5,2017
102,Texas,Pasadena,"154,986",328,"1,949",0,211.63,0.01,1257.53,160.6,135.2,19.866666666666667,71.2,2017
103,California,Hayward,157157,298,2266,0,189.62,0.01,1441.87,85.0,93.0,18.0,81.5,2017
104,California,Salinas,158185,431,2738,0,272.47,0.02,1730.88,89.0,67.0,16.5,59.9,2017
105,California,Palmdale,159613,351,1264,0,219.91,0.01,791.92,161.0,125.0,23.0,74.4,2017
106,Colorado,Fort Collins,159629,133,1583,0,83.32,0.01,991.67,43.0,60.0,17.5,96.4,2017
107,Oregon,Eugene,"161,608",285,"2,941",0,176.35,0.02,1819.84,40.0,104.0,16.0,93.4,2017
108,California,Lancaster,162095,550,1761,0,339.31,0.01,1086.4,161.0,125.0,20.0,82.3,2017
109,Oregon,Salem,"163,320",238,"3,339",0,145.73,0.02,2044.45,25.0,98.0,23.0,86.7,2017
110,Texas,McKinney,"163,406",117,"1,102",0,71.6,0.01,674.39,71.0,62.0,13.0,92.2,2017
111,California,Elk Grove,166183,278,1269,0,167.29,0.01,763.62,89.0,110.0,20.0,90.2,2017
112,Missouri,Springfield,166860,1144,6283,0.01,685.6,0.04,3765.43,98.5,78.5,12.75,89.7,2017
113,Florida,Pembroke Pines,167266,187,1823,0,111.8,0.01,1089.88,103.0,112.0,23.0,92.6,2017
114,Arizona,Peoria,170222,166,1865,0,97.52,0.01,1095.63,113.15384615384616,112.23076923076923,14.846153846153847,92.7,2017
115,Mississippi,Jackson,170508,677,3875,0,397.05,0.02,2272.62,96.0,268.0,14.0,84.6,2017
116,Washington,Vancouver,"171,076",319,"2,868",0,186.47,0.02,1676.45,60.0,92.0,23.5,90.3,2017
117,South Dakota,Sioux Falls,"172,313",460,"2,664",0,266.96,0.02,1546.02,71.0,74.0,8.75,91.7,2017
118,Tennessee,Chattanooga,"174,969",873,"4,787",0,498.95,0.03,2735.91,265.0,143.0,12.333333333333334,86.5,2017
