State,City,Population,"Violent
crime","Property
crime",Violent Crime per pop,"Violent crime rate per 100,000 inhabitants",Property crime per pop,"Property crime per 100,000 inhabitants"
Texas,El Paso,"686,077","1,337","5,950",0,194.88,0.01,867.25
Texas,Fort Worth,"829,731","2,217","13,909",0,267.2,0.02,1676.33
Ohio,Columbus,847745,2124,16668,0,250.55,0.02,1966.16
California,San Francisco,863782,2987,22833,0,345.8,0.03,2643.38
Florida,Jacksonville,867258,2758,15340,0,318.01,0.02,1768.79
Texas,Austin,"938,728","1,958","16,933",0,208.58,0.02,1803.82
Hawaii,Honolulu,999307,1165,15535,0,116.58,0.02,1554.58
California,San Jose,1031458,1919,11463,0,186.05,0.01,1111.34
Texas,Dallas,"1,301,977","4,772","22,059",0,366.52,0.02,1694.27
California,San Diego,1400467,2644,14865,0,188.79,0.01,1061.43
Texas,San Antonio,"1,463,586","5,111","36,630",0,349.21,0.03,2502.76
Nevada,Las Vegas Metro,1562134,7277,22234,0,465.84,0.01,1423.31
Pennsylvania,Philadelphia,"1,567,810","7,374","22,948",0,470.34,0.01,1463.7
Texas,Houston,"2,275,221","11,578","49,299",0.01,508.87,0.02,2166.78
Illinois,Chicago,2728695,13729,39151,0.01,503.13,0.01,1434.79
California,Los Angeles,3962726,13724,48427,0,346.33,0.01,1222.06
New York,New York,8550861,23543,59928,0,275.33,0.01,700.84
California,Plano,Plano,62,1238,#VALUE!,#VALUE!,#VALUE!,#VALUE!
California,Plano,Plano,95,1866,#VALUE!,#VALUE!,#VALUE!,#VALUE!
California,Plano,Plano,114,1795,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Florida,Plano,Plano,103,1508,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Texas,Plano,Plano,178,"2,758",#VALUE!,#VALUE!,#VALUE!,#VALUE!
Washington,Plano,Plano,75,"2,165",#VALUE!,#VALUE!,#VALUE!,#VALUE!
